"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
2700,46,24.5,82,40,4.500000000000001,32,0,11.700000000000001,40,32,18,39.9,17.9,0,0,0,22.2,0,0,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.3,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3.9999999999999996,0,25.5,0.5999999999999999,0,10,0,7,0,18,0,10,0,0,0,0,0,3.1,0
2800,45.7,24,81.60000000000001,40,4,31.699999999999996,0,11,40,31.6,18.4,39.9,18.200000000000003,0,0,0,23.2,0,0.10000000000000002,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.6,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,4.3,0,26,0.6,0,10,0,7.1,0,18.300000000000004,0,10,0,0,0,0,0,3.0000000000000004,0
2900,46.1,23.1,81.3,40,3.1,31.3,0,10.8,40,31.2,18.7,39.9,18.6,0,0,0,22.999999999999996,0,0.10000000000000002,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.4,0,2.6999999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,0,0,0,3.9,0,26.9,1.2,0,10,0,7,0,18.7,0,10,0,0,0,0.10000000000000002,0,3.1000000000000005,0
3000,46.8,23.8,81,40,3.7999999999999994,31.2,0,10.1,40,30.999999999999996,19.000000000000004,39.9,18.700000000000003,0,0,0,23,0,0.20000000000000004,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.9,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.000000000000004,0,0,0,0,0,3.2,0,26.2,1.1,0,10,0,6.199999999999999,0,18.8,0,10,0,0,0,0,0,3.9,0
3100,46.8,24.4,81,40,4.3999999999999995,30.999999999999996,0,10.6,40,30.999999999999996,19.000000000000004,39.9,18.900000000000002,0,0,0,22.5,0,0,0,0.10000000000000002,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.30000000000000004,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.000000000000004,0,0,0,0,0,3.2000000000000006,0,25.6,0.39999999999999997,0,10,0,6.200000000000001,0,19.000000000000004,0,10,0,0,0,0,0,3.9,0
3200,47.4,23.4,80.8,40,3.4,30.9,0,10,40,30.8,19.2,39.9,19,0,0,0,22.5,0,0.10000000000000002,0,0.39999999999999997,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.39999999999999997,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,2.6,0,26.6,1.3,0,10,0,5.800000000000001,0,19.1,0,10,0,0,0,0,0,4.3,0
3300,47.4,23.1,80.30000000000001,40,3.0999999999999996,30.3,0,9.799999999999999,40,30.3,19.7,39.9,19.6,0,0,0,22.7,0,0,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.5,0,3.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,2.5999999999999996,0,26.9,0.8,0,10,0,6.5,0,19.7,0,10,0,0,0,0,0,3.5999999999999996,0
3400,45.4,23.700000000000003,80.1,40,3.6999999999999997,30.1,0,9.6,40,30.1,19.9,39.9,19.8,0,0,0,24.9,0,0,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0,0,0,0,0,4.6,0,26.299999999999997,0.6,0,10,0,5.9,0,19.9,0,10,0,0,0,0,0,4.199999999999999,0
3500,46.1,23.1,79.89999999999999,40,3.1,29.9,0,9.700000000000001,40,29.8,20.1,39.9,20,0,0,0,24.1,0,0.1,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.10000000000000002,0,2.0000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,3.9,0,26.9,0.8,0,10,0,6,0,20.1,0,10,0,0,0,0.1,0,4.1,0
3600,46.8,23.4,79.8,40,3.4000000000000004,29.8,0,8.8,40,29.8,20.2,39.9,20.1,0,0.09999999999999999,0,24.4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,0,0,3.2,0,26.6,0.7,0,10,0,5.800000000000001,0,20.2,0,10,0,0,0,0,0,4.3,0
