A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,,,20 nm,25850.7265625,5 nm,10554.841796875,0,3583.14880371094
36559.87109375,20436.955078125,25039.94140625,16659.255859375,14161.810546875,9016.40234375,3496.732421875,,,,,,,,,,74701.828125,21259.0703125,27827.3203125,20243.677734375,-5170.8466796875,9896.34375,3107.8701171875,,,,,,,,,,,,,,,,,,33385.3828125,22833.740234375,28768.9765625,20434.736328125,20621.00390625,10531.8359375,6618.35009765625,,,,,26911.3896484375,,9845.54166666667,,3315.37841796875
36620.56640625,20404.8984375,25099.17578125,16667.1875,14156.0146484375,9058.8203125,3489.0322265625,,,,,,,,,,75187.328125,21633.68359375,27913.34765625,20265.40234375,-5158.4091796875,9906.529296875,3141.724609375,,,,,,,,,,,,,,,,,,33389.7890625,22693.87109375,28802.953125,20445.806640625,20597.60546875,10571.275390625,6642.65673828125,,,,,26911.583984375,,9844.896484375,,3337.27478027344
36704.18359375,20427.439453125,25147.99609375,16698.859375,14205.2578125,9067.8125,3524.828125,,,,,,,,,,75765.5546875,21616.12890625,27903.51171875,20268.19140625,-5173.7822265625,9895.4443359375,3149.72143554687,,,,,,,,,,,,,,,,,,33339.78125,22665.87890625,28723.603515625,20412.958984375,20591.982421875,10571.4326171875,6670.04931640625,,,,,26941.4638671875,,9851.3203125,,3341.97875976563
36766.65234375,20407.30859375,25209.7265625,16697.087890625,14227.671875,9085.2890625,3510.255859375,,,,,,,,,,76259.140625,21652.720703125,27985.9296875,20264.822265625,-5144.01123046875,9901.166015625,3173.70166015625,,,,,,,,,,,,,,,,,,33345.71875,22609.95703125,28675.171875,20399.052734375,20586.71875,10567.505859375,6677.32421875,,,,,26950.7568359375,,9880.77994791667,,3336.79565429687
36854.734375,20411.8203125,25228.490234375,16692.970703125,14247.35546875,9132.658203125,3507.12353515625,,,,,,,,,,76764.234375,21600.728515625,28034.52734375,20242.068359375,-5162.509765625,9917.544921875,3166.4677734375,,,,,,,,,,,,,,,,,,33313.58984375,22581.69921875,28673.201171875,20383.01953125,20575.34375,10592.13671875,6706.59716796875,,,,,26934.59765625,,9870.14811197917,,3371.74438476563
36899.11328125,20431.9375,25250.6171875,16704.98828125,14292.6337890625,9130.6796875,3554.57739257813,,,,,,,,,,77115.3203125,21611.09765625,28072.884765625,20266.65625,-5135.62109375,9908.4208984375,3188.91137695313,,,,,,,,,,,,,,,,,,33296.16015625,22534.1015625,28673.0234375,20417.59765625,20572.046875,10571.34375,6746.31640625,,,,,26919.4189453125,,9905.06901041667,,3396.24084472656
36985.4609375,20435.32421875,25282.150390625,16698.162109375,14331.15625,9168.6484375,3581.81225585937,,,,,,,,,,77811.515625,21244.373046875,28100.748046875,20255.07421875,-5172.310546875,9948.87109375,3210.66943359375,,,,,,,,,,,,,,,,,,33250.5234375,22583.099609375,28618.578125,20381.798828125,20615.4140625,10597.6875,6756.787109375,,,,,26911.86328125,,9899.03548177083,,3397.46240234375
37009.9609375,20385.875,25305.7734375,16723.375,14351.376953125,9166.7890625,3583.79931640625,,,,,,,,,,78266.765625,21591.41796875,28174.03125,20264.4296875,-5162.9775390625,9944.880859375,3211.12548828125,,,,,,,,,,,,,,,,,,33258.03515625,22458.7734375,28556.6875,20380.2421875,20569.685546875,10585.4365234375,6745.49951171875,,,,,26963.7373046875,,9922.55013020833,,3411.39477539062
37104.8125,20410.71484375,25370.169921875,16691.580078125,14386.01953125,9183.234375,3595.27221679688,,,,,,,,,,78680.75,21214.46484375,28195.3515625,20280.701171875,-5156.98974609375,9970.8017578125,3227.51733398437,,,,,,,,,,,,,,,,,,33198.78515625,22500.923828125,28517.953125,20372.4140625,20581.0234375,10613.6142578125,6771.98583984375,,,,,26958.9970703125,,9939.642578125,,3450.71350097656
37134.4765625,20386.26171875,25439.95703125,16723.109375,14411.943359375,9207.982421875,3630.72509765625,,,,,,,,,,79003.859375,21556.22265625,28282.0390625,20292.7265625,-5161.998046875,9986.7724609375,3270.70190429687,,,,,,,,,,,,,,,,,,33202.3515625,22388.185546875,28557.3046875,20416.6015625,20594.326171875,10624.1728515625,6809.396484375,,,,,26957.2490234375,,9947.8818359375,,3494.8251953125
37217.4921875,20401.5625,25431.138671875,16718.310546875,14445.375,9215.513671875,3667.77099609375,,,,,,,,,,79506.84375,21530.830078125,28310.552734375,20281.73828125,-5177.39501953125,10001.6640625,3321.87939453125,,,,,,,,,,,,,,,,,,33211.78125,22382.017578125,28478.037109375,20414.392578125,20592.048828125,10626.4677734375,6837.447265625,,,,,26952.5830078125,,9977.6884765625,,3482.07177734375
37222.02734375,20405.89453125,25448.138671875,16690.12890625,14489.5712890625,9262.2998046875,3655.00268554687,,,,,,,,,,79789.765625,21530.369140625,28357.185546875,20273.578125,-5149.8271484375,10025.6103515625,3309.14086914062,,,,,,,,,,,,,,,,,,33205.19921875,22321.095703125,28483.359375,20380.875,20592.552734375,10645.1552734375,6846.5,,,,,26957.466796875,,9980.70865885417,,3504.48876953125
37299.1484375,20399.85546875,25462.94140625,16718.693359375,14528.03515625,9273.3486328125,3689.95288085938,,,,,,,,,,80394.046875,21553.763671875,28376.21484375,20304.208984375,-5149.61279296875,10013.55078125,3319.02465820312,,,,,,,,,,,,,,,,,,33182.078125,22295.44140625,28457.02734375,20420.22265625,20594.484375,10655.2265625,6868.99755859375,,,,,26982.6162109375,,10005.203125,,3500.84167480469
37326.875,20358.4296875,25525.712890625,16763.24609375,14538.0693359375,9301.7685546875,3683.57104492187,,,,,,,,,,80593.3046875,21533.015625,28455.841796875,20294.171875,-5149.31494140625,10036.0986328125,3318.1123046875,,,,,,,,,,,,,,,,,,33145.9609375,22271.33203125,28451.9921875,20390.92578125,20596.583984375,10677.7421875,6881.560546875,,,,,26971.9521484375,,10007.4231770833,,3520.34326171875
37392.7265625,20411.546875,25511.7890625,16749.3515625,14564.19140625,9303.9375,3701.46875,,,,,,,,,,80864.7421875,21183.396484375,28413.984375,20258.9765625,-5131.45556640625,10044.462890625,3339.2177734375,,,,,,,,,,,,,,,,,,33134.34375,22298.1171875,28439.51953125,20423.703125,20600.927734375,10673.869140625,6922.27734375,,,,,26986.2412109375,,10013.2314453125,,3557.79956054687
37405.390625,20390.572265625,25576.744140625,16739.1953125,14586.65234375,9317.4501953125,3733.51538085937,,,,,,,,,,81352.484375,21540.177734375,28521.95703125,20298.458984375,-5168.38134765625,10068.1015625,3382.08374023437,,,,,,,,,,,,,,,,,,33138.65625,22190.306640625,28432.115234375,20436.681640625,20625.296875,10654.142578125,6939.97119140625,,,,,26977.546875,,10049.7125651042,,3568.31579589844
37448.57421875,20428.23046875,25554.09765625,16723.521484375,14637.7421875,9390.34375,3744.6103515625,,,,,,,,,,81549.09375,21169.9921875,28509.154296875,20263.150390625,-5138.04296875,10071.7607421875,3392.02124023437,,,,,,,,,,,,,,,,,,33119.70703125,22228.208984375,28395.73828125,20390.97265625,20659.583984375,10687.033203125,6949.876953125,,,,,26969.29296875,,10059.1145833333,,3595.38891601562
37457.91796875,20441.40625,25600.892578125,16753.9375,14681.505859375,9408.6767578125,3777.91015625,,,,,,,,,,81702.4921875,21241.19140625,28525.91796875,20289.69140625,-5107.6455078125,10075.90625,3412.86767578125,,,,,,,,,,,,,,,,,,33151.83984375,22200.544921875,28400.99609375,20418.083984375,20674.873046875,10692.7607421875,6983.60546875,,,,,26969.82421875,,10081.1090494792,,3608.82373046875
37507.15625,20405.71875,25590.37890625,16753.5078125,14682.326171875,9423.34765625,3793.1552734375,,,,,,,,,,82170.59375,21525.55859375,28577.375,20282.603515625,-5142.12060546875,10103.8876953125,3424.4921875,,,,,,,,,,,,,,,,,,33146.3203125,22086.498046875,28337.693359375,20403.30078125,20685.287109375,10716.091796875,6980.64111328125,,,,,26978.9833984375,,10082.40625,,3617.63610839844
37560.83203125,20391.12890625,25624.744140625,16765.27734375,14741.130859375,9418.46484375,3799.82202148437,,,,,,,,,,82379.875,21520.673828125,28607.255859375,20327.296875,-5131.21240234375,10081.3876953125,3435.4501953125,,,,,,,,,,,,,,,,,,33091.3203125,22062.0078125,28349.26953125,20400.423828125,20681.326171875,10747.3662109375,7009.3154296875,,,,,27017.8388671875,,10095.2200520833,,3632.10681152344
37557.09765625,20446.52734375,25697.384765625,16763.45703125,14748.81640625,9440.0703125,3821.25244140625,,,,,,,,,,82640.828125,21168.94140625,28630.431640625,20309.998046875,-5127.46484375,10103.583984375,3442.96118164063,,,,,,,,,,,,,,,,,,33072.38671875,22104.68359375,28333.22265625,20419.69140625,20725.2421875,10742.005859375,7038.03466796875,,,,,27020.1318359375,,10109.4222005208,,3634.62512207031
37623.2421875,20400.46875,25731.8984375,16771.75,14783.7529296875,9461.5,3839.66088867187,,,,,,,,,,83131.796875,21149.677734375,28697.375,20328.388671875,-5136.22119140625,10124.171875,3429.58935546875,,,,,,,,,,,,,,,,,,33032.62890625,22066.82421875,28338.29296875,20396.23046875,20721.166015625,10742.5947265625,7095.6640625,,,,,27013.4677734375,,10128.724609375,,3662.24548339844
37663.265625,20378.40234375,25753.71484375,16796.19921875,14829.89453125,9460.3828125,3858.64306640625,,,,,,,,,,83306.875,21544.87890625,28698.650390625,20371.009765625,-5134.1552734375,10150.1357421875,3465.84790039062,,,,,,,,,,,,,,,,,,33010.00390625,21964.919921875,28308.365234375,20500.55078125,20731.884765625,10775.6552734375,7113.18505859375,,,,,27001.1943359375,,10152.9212239583,,3674.61877441406
37663.30078125,20371.07421875,25717.609375,16722.734375,14847.671875,9500.3154296875,3867.35864257812,,,,,,,,,,83484.1953125,21487.44921875,28655.203125,20325.197265625,-5143.5546875,10173.1337890625,3481.87890625,,,,,,,,,,,,,,,,,,33030.5546875,21909.9375,28273.220703125,20504.484375,20735.63671875,10785.314453125,7158.2978515625,,,,,26975.572265625,,10157.2216796875,,3703.15002441406
37660.89453125,20371.12109375,25715.19140625,16760.36328125,14852.3173828125,9515.138671875,3904.8701171875,,,,,,,,,,83494.71875,21527.9296875,28741.40234375,20283.888671875,-5131.216796875,10172.7236328125,3501.42993164062,,,,,,,,,,,,,,,,,,33066.89453125,21865.37890625,28284.779296875,20501.580078125,20722.828125,10783.802734375,7134.3671875,,,,,26974.78515625,,10177.087890625,,3729.05346679687
