,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
22,30716.189453125,23108.884765625,24060.45703125,16572.314453125,7091.89990234375,,-5196.4453125,48330.7109375,34781.46484375,25525.87109375,22846.9609375,16198.0791015625,3410.03540039062,,,,,,,,,,,10267.9052734375,,,,,,,6812.68896484375,,,8095.15234375,,,,,,6727.9306640625,,,,,,,5852.1796875
23,30687.55078125,23097.71875,24065.619140625,16529.884765625,7150.06689453125,,-5212.3134765625,48317.83203125,34814.5703125,25579.63671875,22870.248046875,16225.6572265625,3410.37719726563,,,,,,,,,,,10303.681640625,,,,,,,6845.4873046875,,,8122.21826171875,,,,,,6756.986328125,,,,,,,5898.0009765625
24,30659.466796875,23083.568359375,24097.84375,16537.50390625,7169.2392578125,,-5222.5224609375,48320.453125,34713.64453125,25669.896484375,22847.873046875,16243.3046875,3461.13403320312,,,,,,,,,,,10379.203125,,,,,,,6849.3125,,,8156.23095703125,,,,,,6778.955078125,,,,,,,5931.12841796875
25,30627.37890625,23088.037109375,24028.33203125,16530.017578125,7164.0244140625,,-5204.20849609375,48370.2109375,34662.328125,25716.958984375,22848.607421875,16259.728515625,3521.0380859375,,,,,,,,,,,10436.83984375,,,,,,,6879.3486328125,,,8211.09765625,,,,,,6828.572265625,,,,,,,5977.66357421875
26,30579.306640625,23100.453125,24028.0390625,16530.67578125,7192.7265625,,-5191.107421875,48312.1953125,34531.2265625,25856.330078125,22915.685546875,16296.2958984375,3556.5673828125,,,,,,,,,,,10456.525390625,,,,,,,6935.056640625,,,8245.2373046875,,,,,,6842.94482421875,,,,,,,5995.62890625
27,30555.384765625,23109.53125,24003.89453125,16545.35546875,7223.2353515625,,-5192.88134765625,48363.625,34647.265625,25949.91015625,22912.60546875,16302.462890625,3576.22705078125,,,,,,,,,,,10476.689453125,,,,,,,6986.48193359375,,,8286.5068359375,,,,,,6870.85546875,,,,,,,6045.01171875
28,30561.76171875,23123.880859375,23944.265625,16522.005859375,7253.3662109375,,-5169.8076171875,48364.74609375,34443.953125,25997.6484375,22940.392578125,16303.630859375,3611.5595703125,,,,,,,,,,,10541.7041015625,,,,,,,7031.7705078125,,,8288.9921875,,,,,,6921.7783203125,,,,,,,6101.28564453125
29,30523.53515625,23100.3125,23979.0546875,16532.30859375,7243.462890625,,-5163.79345703125,48327.14453125,34438.86328125,26031.509765625,22851.55859375,16351.8349609375,3669.96875,,,,,,,,,,,10573.8193359375,,,,,,,7060.353515625,,,8352.119140625,,,,,,6953.671875,,,,,,,6118.3251953125
30,30479.130859375,23044.146484375,23920.970703125,16539.80859375,7282.32421875,,-5163.70751953125,48385.84375,33855.1953125,26009.064453125,22920.955078125,16322.6396484375,3706.66748046875,,,,,,,,,,,10601.048828125,,,,,,,7111.7392578125,,,8395.466796875,,,,,,6968.505859375,,,,,,,6172.51171875
31,30479.1640625,23088.115234375,23945.728515625,16563.35546875,7315.037109375,,-5178.0009765625,48263.671875,34373.4453125,26186.74609375,22883.23828125,16352.5205078125,3737.57373046875,,,,,,,,,,,10645.2353515625,,,,,,,7196.638671875,,,8430.1630859375,,,,,,7001.0751953125,,,,,,,6230.44921875
32,30464.1015625,23057.1953125,23932.169921875,16520.578125,7329.7314453125,,-5138.42919921875,48244.09375,34305.4609375,26196.5234375,22896.0625,16358.7568359375,3775.05517578125,,,,,,,,,,,10686.453125,,,,,,,7179.7763671875,,,8460.1552734375,,,,,,7032.6376953125,,,,,,,6259.14794921875
33,30441.443359375,23057.505859375,23929.107421875,16534.830078125,7349.4775390625,,-5140.65478515625,48256.0859375,34166.7109375,26185.322265625,22881.390625,16365.47265625,3810.4111328125,,,,,,,,,,,10725.8046875,,,,,,,7209.95361328125,,,8502.564453125,,,,,,7075.56005859375,,,,,,,6304.2451171875
34,30375.509765625,23027.619140625,23907.27734375,16534.0703125,7373.859375,,-5152.0341796875,48189.5859375,33637.0859375,26201.72265625,22900.1328125,16354.2451171875,3851.97412109375,,,,,,,,,,,10736.51171875,,,,,,,7271.85546875,,,8567.87109375,,,,,,7108.341796875,,,,,,,6345.17431640625
35,30384.189453125,23029.728515625,23832.908203125,16547.177734375,7404.13525390625,,-5124.83349609375,48201.85546875,34062.0625,26231.9609375,22960,16351.037109375,3862.56518554687,,,,,,,,,,,10747.228515625,,,,,,,7293.96533203125,,,8567.2587890625,,,,,,7115.634765625,,,,,,,6387.48828125
36,30355.361328125,23024.5,23884.71875,16499.279296875,7390.337890625,,-5135.9638671875,48120.609375,33974.2578125,26274.18359375,22861.5078125,16354.44140625,3930.3984375,,,,,,,,,,,10820.2783203125,,,,,,,7399.6337890625,,,8621.37109375,,,,,,7164.8837890625,,,,,,,6460.7451171875
37,30330.03515625,22984.3515625,23827.740234375,16502.81640625,7438.31591796875,,-5119.3310546875,48057.46875,33975.078125,26250.7734375,22847.97265625,16340.55859375,3980.0107421875,,,,,,,,,,,10850.068359375,,,,,,,7397.24072265625,,,8654.298828125,,,,,,7204.9921875,,,,,,,6474.31787109375
38,30273.658203125,22961.55859375,23806.3046875,16506.94921875,7454.5556640625,,-5099.04541015625,47997.734375,33904.2578125,26228.86328125,22876.412109375,16334.9765625,3981.85864257812,,,,,,,,,,,10909.130859375,,,,,,,7405.23193359375,,,8665.041015625,,,,,,7226.3037109375,,,,,,,6496.9306640625
39,30274.70703125,22940.87890625,23781.732421875,16458.8203125,7447.23876953125,,-5121.5498046875,48038.734375,33812.89453125,26222.798828125,22823.71875,16335.9931640625,4058.54345703125,,,,,,,,,,,10907.017578125,,,,,,,7459.21435546875,,,8727.3203125,,,,,,7248.1484375,,,,,,,6541.7841796875
40,30257.1171875,22916.125,23753.86328125,16448.001953125,7488.8115234375,,-5108.37890625,47828.453125,33739.98046875,26192.375,22822.69140625,16364.125,4084.6630859375,,,,,,,,,,,10973.73046875,,,,,,,7544.65625,,,8771.701171875,,,,,,7292.4658203125,,,,,,,6596.58251953125
41,30219.83984375,22877.037109375,23727.310546875,16433.298828125,7477.56005859375,,-5092.013671875,47900.5234375,33741.265625,26232.234375,22761.08203125,16355.2109375,4131.95947265625,,,,,,,,,,,11032.916015625,,,,,,,7572.3095703125,,,8788.849609375,,,,,,7324.6455078125,,,,,,,6609.40673828125
42,30183.29296875,22866.7109375,23674.689453125,16428.080078125,7519.6474609375,,-5086.171875,47778.41796875,33662.2890625,26216.51953125,22786.177734375,16343.4052734375,4160.76171875,,,,,,,,,,,11034.2939453125,,,,,,,7628.76318359375,,,8824.474609375,,,,,,7344.9755859375,,,,,,,6642.41796875
43,30113.19921875,22841.310546875,23640.28125,16388.123046875,7563.84716796875,,-5075.568359375,47725.91015625,33180.9609375,26180.587890625,22739.470703125,16328.060546875,4209.86767578125,,,,,,,,,,,11084.78125,,,,,,,7650.1923828125,,,8873.20703125,,,,,,7371.3544921875,,,,,,,6691.21533203125
44,30060.94921875,22800.451171875,23572.900390625,16337.38671875,7553.9345703125,,-5109.58349609375,47687.3203125,33623.50390625,26214.08203125,22776.19140625,16318.919921875,4245.18115234375,,,,,,,,,,,11105.3349609375,,,,,,,7685.361328125,,,8896.4765625,,,,,,7404.0556640625,,,,,,,6706.5224609375
45,30010.734375,22793.779296875,23545.013671875,16335.6123046875,7581.64599609375,,-5086.037109375,47589.90625,33560.23828125,26180.5625,22701.44921875,16317.833984375,4248.44384765625,,,,,,,,,,,11177.6044921875,,,,,,,7719.84375,,,8928.0361328125,,,,,,7437.6572265625,,,,,,,6757.2099609375
